"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"4";"XAUUSD_DARWINEX";"Buy";"2024.02.19 18:18:00";"2015.10";"0.30000";"2024.02.20 16:40:00";"2026.58";"341.38";"142466.61";"OOS1";"TrailingStop";"-11.85";"469.95";"22h 22m";""
"5";"XAUUSD_DARWINEX";"Buy";"2024.02.21 05:54:00";"2030.77";"0.30000";"2024.02.21 10:29:00";"2027.61";"-97.85";"142368.77";"OOS1";"TrailingStop";"-94.80";"42.75";"4h 35m";""
"6";"XAUUSD_DARWINEX";"Buy";"2024.02.21 15:05:00";"2030.77";"0.30000";"2024.02.21 17:57:00";"2024.92";"-178.55";"142190.22";"OOS1";"SL";"-175.50";"21.15";"2h 52m";""
"7";"XAUUSD_DARWINEX";"Buy";"2024.02.22 10:05:00";"2032.20";"0.30000";"2024.02.22 11:26:00";"2029.92";"-71.45";"142118.77";"OOS1";"TrailingStop";"-68.40";"75.24";"1h 21m";""
"8";"XAUUSD_DARWINEX";"Buy";"2024.02.23 18:33:00";"2034.71";"0.30000";"2024.02.23 21:48:00";"2037.08";"68.05";"142186.81";"OOS1";"TrailingStop";"0.00";"197.25";"3h 15m";""
"9";"XAUUSD_DARWINEX";"Buy";"2024.02.27 10:23:00";"2036.97";"0.30000";"2024.02.27 12:16:00";"2034.88";"-65.76";"142121.06";"OOS1";"TrailingStop";"-62.70";"72.15";"1h 53m";""
"10";"XAUUSD_DARWINEX";"Buy";"2024.02.27 13:21:00";"2036.97";"0.30000";"2024.02.27 16:00:00";"2035.11";"-58.86";"142062.20";"OOS1";"TrailingStop";"-55.80";"60.24";"2h 39m";""
"11";"XAUUSD_DARWINEX";"Buy";"2024.02.29 09:43:00";"2037.81";"0.30000";"2024.02.29 12:29:00";"2032.45";"-163.86";"141898.34";"OOS1";"SL";"-160.80";"0.00";"2h 46m";""
"12";"XAUUSD_DARWINEX";"Buy";"2024.02.29 15:31:00";"2037.81";"0.30000";"2024.02.29 18:22:00";"2044.92";"210.24";"142108.59";"OOS1";"TrailingStop";"-26.55";"383.85";"2h 51m";""
"13";"XAUUSD_DARWINEX";"Buy";"2024.03.01 12:25:00";"2050.61";"0.30000";"2024.03.01 14:59:00";"2052.21";"44.92";"142153.52";"OOS1";"TrailingStop";"-18.75";"203.55";"2h 34m";""
