"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"9";"USATECHIDXUSD_DARWINEX";"Buy";"2021.04.26 20:45:00";"13999.2";"0.30000";"2021.04.27 16:50:00";"13969.0";"-60.62";"123154.61";"OOS1";"TrailingStop";"-90.60";"176.37";"20h 5m";""
"10";"USATECHIDXUSD_DARWINEX";"Buy";"2021.04.29 11:01:00";"14039.2";"0.30000";"2021.04.29 16:54:00";"13989.6";"-150.45";"123004.16";"OOS1";"TrailingStop";"-148.80";"111.00";"5h 53m";""
"11";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.07 03:26:00";"13626.6";"0.20000";"2021.05.07 15:32:00";"13779.8";"305.30";"123309.45";"OOS1";"PT";"-61.02";"306.40";"12h 6m";""
"12";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.11 22:27:00";"13384.1";"0.20000";"2021.05.11 22:36:00";"13305.9";"-157.50";"123151.95";"OOS1";"SL";"-156.40";"0.00";"9m 0s";""
"13";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.12 10:44:00";"13322.9";"0.20000";"2021.05.12 15:30:00";"13244.6";"-157.70";"122994.26";"OOS1";"SL";"-156.60";"43.43";"4h 46m";""
"14";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.14 19:03:00";"13351.6";"0.20000";"2021.05.14 21:59:00";"13416.6";"128.90";"123123.16";"OOS1";"End Of Friday (Time)";"-12.18";"158.22";"2h 56m";""
"15";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.18 12:18:00";"13419.8";"0.20000";"2021.05.18 16:32:00";"13336.8";"-167.10";"122956.05";"OOS1";"SL";"-166.00";"6.77";"4h 14m";""
"16";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.20 06:33:00";"13229.1";"0.20000";"2021.05.20 17:02:00";"13410.0";"360.70";"123316.76";"OOS1";"PT";"-146.92";"361.80";"10h 29m";""
"17";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.20 18:19:00";"13450.2";"0.20000";"2021.05.21 18:55:00";"13424.1";"-46.27";"123270.48";"OOS1";"TrailingStop";"-52.20";"244.42";"1d 0h 36m";""
"18";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.24 18:17:00";"13653.6";"0.20000";"2021.05.25 18:33:00";"13620.9";"-45.42";"123225.07";"OOS1";"TrailingStop";"-65.40";"169.98";"1d 0h 16m";""
"19";"USATECHIDXUSD_DARWINEX";"Buy";"2021.05.28 07:10:00";"13705.5";"0.20000";"2021.05.28 21:59:00";"13733.5";"54.90";"123279.97";"OOS1";"End Of Friday (Time)";"-79.78";"122.79";"14h 49m";""
"20";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.01 14:22:00";"13750.7";"0.30000";"2021.06.01 17:12:00";"13687.9";"-190.05";"123089.92";"OOS1";"SL";"-188.40";"77.42";"2h 50m";""
"21";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.04 17:00:00";"13708.6";"0.30000";"2021.06.04 21:59:00";"13774.7";"196.65";"123286.57";"OOS1";"End Of Friday (Time)";"-2.22";"223.20";"4h 59m";""
