"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"22852";"XAUUSD_DARWINEX";"Buy";"2024.01.30 15:58:00";"2037.47";"0.30000";"2024.01.30 17:00:00";"2042.83";"157.74";"126897.52";"IST";"TrailingStop";"-7.95";"329.34";"1h 2m";""
"22871";"XAUUSD_DARWINEX";"Buy";"2024.01.31 16:38:00";"2048.45";"0.30000";"2024.01.31 18:06:00";"2048.57";"0.53";"126898.05";"IST";"TrailingStop";"-43.05";"222.84";"1h 28m";""
"22884";"XAUUSD_DARWINEX";"Buy";"2024.02.01 18:09:00";"2055.88";"0.30000";"2024.02.01 19:41:00";"2055.29";"-20.78";"126877.26";"IST";"TrailingStop";"-17.70";"284.04";"1h 32m";""
"22918";"XAUUSD_DARWINEX";"Buy";"2024.02.07 16:43:00";"2038.79";"0.30000";"2024.02.07 17:15:00";"2038.80";"-2.76";"126874.50";"IST";"TrailingStop";"0.00";"170.25";"32m 0s";""
"22990";"XAUUSD_DARWINEX";"Buy";"2024.02.16 17:36:00";"2008.18";"0.30000";"2024.02.16 21:59:00";"2012.57";"128.69";"127003.19";"IST";"End Of Friday (Time)";"-40.05";"207.45";"4h 23m";""
"22991";"XAUUSD_DARWINEX";"Buy";"2024.02.19 18:18:00";"2015.10";"0.30000";"2024.02.20 16:35:00";"2026.99";"353.68";"127356.87";"IST";"TrailingStop";"-11.85";"469.95";"22h 17m";""
"22995";"XAUUSD_DARWINEX";"Buy";"2024.02.21 05:54:00";"2030.77";"0.30000";"2024.02.21 10:01:00";"2028.03";"-85.25";"127271.62";"IST";"TrailingStop";"-82.20";"42.75";"4h 7m";""
"22998";"XAUUSD_DARWINEX";"Buy";"2024.02.21 15:05:00";"2030.77";"0.30000";"2024.02.21 17:56:00";"2025.34";"-165.95";"127105.67";"IST";"SL";"-162.90";"21.15";"2h 51m";""
"23013";"XAUUSD_DARWINEX";"Buy";"2024.02.22 10:05:00";"2032.20";"0.30000";"2024.02.22 11:23:00";"2030.34";"-58.85";"127046.83";"IST";"TrailingStop";"-55.80";"75.24";"1h 18m";""
"23032";"XAUUSD_DARWINEX";"Buy";"2024.02.23 18:33:00";"2034.71";"0.30000";"2024.02.23 21:47:00";"2037.44";"78.85";"127125.67";"IST";"TrailingStop";"0.00";"197.25";"3h 14m";""
"23051";"XAUUSD_DARWINEX";"Buy";"2024.02.27 10:23:00";"2036.97";"0.30000";"2024.02.27 12:15:00";"2035.26";"-54.36";"127071.32";"IST";"TrailingStop";"-51.30";"72.15";"1h 52m";""
"23074";"XAUUSD_DARWINEX";"Buy";"2024.02.29 15:31:00";"2037.81";"0.40000";"2024.02.29 18:14:00";"2045.26";"293.92";"127365.24";"IST";"TrailingStop";"-35.40";"511.80";"2h 43m";""
"23077";"XAUUSD_DARWINEX";"Buy";"2024.03.01 12:25:00";"2050.61";"0.30000";"2024.03.01 14:52:00";"2052.54";"54.82";"127420.07";"IST";"TrailingStop";"-18.75";"203.55";"2h 27m";""
"23081";"XAUUSD_DARWINEX";"Buy";"2024.03.04 15:55:00";"2088.22";"0.30000";"2024.03.04 17:12:00";"2097.50";"275.27";"127695.34";"IST";"TrailingStop";"-8.85";"392.55";"1h 17m";""
"23088";"XAUUSD_DARWINEX";"Buy";"2024.03.05 10:27:00";"2119.80";"0.30000";"2024.03.05 14:32:00";"2121.13";"36.72";"127732.05";"IST";"TrailingStop";"-26.25";"223.05";"4h 5m";""
